company_name,exchange,year,text_excerpt,label,original_filename
NYSE,TMO,2022,"scope) to help our customers accelerate
structure-based drug discovery for debilitating
disorders such as Alzheimer’s, Parkinson’s and
Huntington’s diseases, as well as research for cancer
and gene mutations. In bioproduction, we launched
the Gibco CTS DynaCellect Magnetic Separation
System to support cell and gene therapy programs.
2018 2019 2020 2021 2022
It was truly a spectacular year of innovation, and we
have an exciting pipeline of new products that will be
launched in 2023 and beyond.
Le",0,NYSE_TMO_2022
NYSE,MPC,2023,"Scope 1 and 2 GHG Emissions Absolute Scope 3 - Category 11 Methane Emissions Intensity(1)(2) Freshwater Withdrawal Intensity(1)(3)
Intensity(1)(2) (tonnes COe/ GHG Emissions(1)(2) (tonnes COe) (methane-scf/natural gas input-scf) (megaliters/million boe input)
2 2
thousand boe input) 2030 Goal Progress 2030 Goal 2025 Goal 2030 Goal Progress
2030 Goal Progress Progress
30% reduction of Scope 1 and 2 GHG 15% reduction of Scope 3 - Category Reduce MPLX G&P methane 20% reduction of freshwater
emissions intensity by 2030 from 11 GHG emissions by 2030 from 2019 emissions intensity 50% by 2025 and withdrawal intensity by 2030 from
2014 levels levels 75% by 2030 from 2016 levels 2016 levels
(1) Additional information regarding our targets, including calculation methodologies, can be found in our
2023 Perspectives on Climate-Related Scenarios report, available at www.marathonpetroleum.com/sustainability.
(2) 2023 estimated values are preliminary and subject to change.
(3) Progress shown through ",1,NYSE_MPC_2023
NYSE,BCE,2023,"scope 3 emissions have been restated
information relating to specific disclosure standards is presented. In
following a change in the calculation methodology. The previous
addition, we have provided indices (GRI, SASB, UNGC, SDG and World
database used for GHG emissions calculations from expenditures has
Economic Forum) detailing how we respond to each standard, which
been replaced by the factors in the U.S. CPE – US Environmentally-
are available in our ESG data summary. Some metrics disclosed",1,NYSE_BCE_2023
NASDAQ,ARCB,2023,"Scope 1 and
• Participated in the Supplier Leadership
Scope 2 emissions reporting and arenow
on Climate Transition (SLoCT) course
able to report alternative fuels
focused on Scope 3 emissions
separately from petroleum-based diesel
measuring and reporting
• Recognized as an Inbound Logistics
• Partnered with Food Loops at multiple
G75 Supply Chain Partner for the 12th
campus events, resulting in 1,261 lbs. of
year, recognizing the top 75 companies
waste diverted from the landfill through
that are dedicated to developing and
recycling and composting
implementing best practices that leave a
positive footprint on the world Some of the Corporate Social Responsibility
(CSR) progress we made in 2023 includes:
• Completed City-Route Optimization
rollout to all ABF service centers, • Named to America’s Most Responsible
reducing extra miles and emissions Companies 2024 by Newsweek,
powered by Statista
• Continued piloting electric vehicles in
our ABF Freight operations, adding a • Committed $1 m",1,NASDAQ_ARCB_2023
NYSE,BCE,2023,"scope 3 emissions have been restated
information relating to specific disclosure standards is presented. In
following a change in the calculation methodology. The previous
addition, we have provided indices (GRI, SASB, UNGC, SDG and World
database used for GHG emissions calculations from expenditures has
Economic Forum) detailing how we respond to each standard, which
been replaced by the factors in the U.S. CPE – US Environmentally-
are available in our ESG data summary. Some metrics disclosed",1,NYSE_BCE_2023
NYSE,BCE,2023,"scope 3 emissions have been restated
information relating to specific disclosure standards is presented. In
following a change in the calculation methodology. The previous
addition, we have provided indices (GRI, SASB, UNGC, SDG and World
database used for GHG emissions calculations from expenditures has
Economic Forum) detailing how we respond to each standard, which
been replaced by the factors in the U.S. CPE – US Environmentally-
are available in our ESG data summary. Some metrics disclosed",1,NYSE_BCE_2023
NYSE,BAC,2023,"Scope 1 and Scope 2 emissions. Summary (2022) available at www.bankofamerica.com/ESGData2022.
Estimate and report material upstream and downstream (GHG See page 76 for Cautionary Information and Forward-Looking
Protocol Scope 3) emissions where appropriate. Statements regarding Stakeholder Capitalism Metrics.
• Scope 1 Direct: 66,775
• Location-based Scope 2 Indirect: 634,510
• Market-Based Scope 2 Indirect: 17,794
• Total net Scope 1 and Market-Based Scope 2: 0
• Scope 3 Purchased Goods and Ser",1,NYSE_BAC_2023
NYSE,BAC,2022,"Scope 1 and Scope 2 emissions. Data Summary (2021) available at www.bankofamerica.com/
Estimate and report material upstream and downstream (GHG ESGData2021.
Protocol Scope 3) emissions where appropriate.
• Scope 1 Direct: 57,076
• Location-based Scope 2 Indirect: 601,906
• Market-Based Scope 2 Indirect: 13,886
• Total net Scope 1 and Market-Based Scope 2: 0
• Scope 3 Purchased Goods and Services: 1,436,100
• Scope 3 Capital Goods: 46,183
• Scope 3 Fuel- and Energy-Related Activities: 141,748
•",1,NYSE_BAC_2022
NYSE,CRM,2020,"scope,andlargermarketingbudgets,aswellas
substantiallygreaterfinancial,technical,personnel,andotherresources.Inaddition,manyofourcurrentand
potentialcompetitorshaveestablishedmarketingrelationshipsandaccesstolargercustomerbases,andhave
majordistributionagreementswithconsultants,systemintegratorsandresellers.Wealsoexperiencecompetition
fromsmaller,youngercompetitorsthatmaybemoreagileinrespondingtocustomers’demands.These
competitorsmaybeabletorespondmorequicklyandeffectivelythanwecantoneworchangingopportunities,
technologies,standardsorcustomerrequirementsorprovidecompetitivepricing.Asaresult,evenifourservices
aremoreeffectivethantheproductsandservicesthatourcompetitorsoffer,potentialcustomersmightselect
competitiveproductsandservicesinlieuofpurchasingourservices.Forallofthesereasons,wemaynotbeable
tocompetesuccessfullyagainstourcurrentandfuturecompetitors,whichcouldnegativelyimpactourfuture
salesandharmourbusiness.
Ourcontinuedsuccessdependsonourabilitytomaintainandenhanceourbrands.
Web",0,NYSE_CRM_2020
NYSE,INGR,2021,"Scope and Operations
operate. This allows us to bring added value to our customers through
We utilize our global network of manufacturing facilities to support tailored, innovative solutions. At the same time, we believe that our
key global product lines and we have focused our recent investments corporate functions give us the ability to identify synergies and maximize
on expanding plant-based protein product lines, including pulse-based the benefits of our global presence.
concentrates, flours",0,NYSE_INGR_2021
NASDAQ,WASH,2021,"sustainability of our diversified
how they want to interact with us. business model, as its success has been proven over
We continued to expand our footprint in 2021 by opening an office in East
business cycles throughout our 220+ year history.
Greenwich, Rhode Island and, despite the restrictions posed by the pandemic, First, we have partnered with top technology
We remain committed to continually evaluating our
the branch is off to a great start. We plan on opening a branch in Cumberland, prov",0,NASDAQ_WASH_2021
NYSE,AAN,2021,"scope of our operations and financial systems. Our
management will be required to devote a significant amount of time and attention to the process of integrating the operations of our business with that of the
BrandsMart business. There is a significant degree of difficulty and management involvement inherent in that process.
These difficulties include:
• integrating the operations of the BrandsMart business while carrying on the ongoing operations of our business;
• managing a significantly larger company than before consummation of the BrandsMart business;
• the possibility of faulty assumptions underlying our expectations regarding the integration process, including, among other things, unanticipated delays,
costs or inefficiencies;
• the effects of unanticipated liabilities;
• operating a more diversified business;
• integrating two separate business cultures, which may prove to be incompatible;
• attracting and retaining the necessary personnel associated with the BrandsMart busin",0,NYSE_AAN_2021
